Medicine Name ,Category ,price,Stock,Expiry Date ,Unit 
AZITHROMYCIN 500MG,Antibiotic,20.00,32,2028-05-10,Unit
B-COMPLEX CAPSULE,Vitamins/Supplements,160.00,51,2029-05-05,Capsule
B-COMPLEX TABLET,Vitamins/Supplements,100.00,37,2029-06-04,Tablet
BABY OIL GREEN 25ML,Personal Care/Hygiene,55.00,23,2028-09-07,Unit
BABY OIL PINK 25ML,Personal Care/Hygiene,210.00,74,2028-06-09,Unit
BABY OIL PINK 50ML,Personal Care/Hygiene,50.00,30,2029-05-05,Unit
BABY WIPES GREEN,Personal Care/Hygiene,240.00,77,2027-12-12,Consumer
BACTIDOL GARGLE 60M,Oral Care,85.00,36,2027-12-12,Unit
BAND AID,First Aid,35.00,56,2028-09-07,Unit
BEAR BRAND 300G,Nutritional/Milk,159.00,20,2028-03-11,Unit
BEAR BRAND JR 400G,Nutritional/Milk,365.00,10,2028-05-10,Unit
BENCH 75ML B20,Personal Care/Hygiene,130.00,18,2029-05-05,Unit
BENCH ATLANTIS 75ML,Personal Care/Hygiene,190.00,26,2029-03-06,Unit
BENCH EI8HT 75ML,Personal Care/Hygiene,240.00,31,2028-08-08,Unit
BENCH PINK 50ML,Personal Care/Hygiene,140.00,64,2028-06-09,Unit
BEROCCA BOTTLE,Vitamins/Supplements,330.00,53,2029-05-05,Medical Supply
BETADINE 7.5ML,Antiseptic,90.00,50,2028-09-07,Unit
BETADINE FEMININE WASH,Personal Care/Hygiene,110.00,57,2029-02-04,Personal Care
BETADINE GARGLE,Oral Care/Antiseptic,100.00,33,2028-03-11,Unit
BETAHISTINE 16MG TABLET,ENT/Vertigo,25.00,9,2028-10-07,Tablet
BETAHISTINE 24MG,ENT/Vertigo,11.40,40,2028-07-09,Unit
BETAMETHASONE CREAM 5G,Topical/Skin,110.00,5,2028-08-08,Cream/Ointment
BETET OINTMENT,Topical/Skin,130.00,8,2029-01-05,Cream/Ointment
BIODERM OINT,Topical/Skin,30.00,7,2029-04-05,Cream/Ointment
BIODERM SOAP 90G,Personal Care/Hygiene,30.00,40,2028-08-08,Personal Care
BIODERM SOAP60G,Personal Care/Hygiene,170.00,37,2029-05-05,Personal Care
BIOFITEA,Herbal/Supplement,35.00,41,2029-06-04,Unit
BIOFLU TABLET,Cold/Flu,30.00,130,2029-03-06,Tablet
BIOGESIC 120MG 60ML,Pain Relief/Analgesic,60.00,54,2028-03-11,Unit
BIOGESIC 250 SYR,Pain Relief/Analgesic,11.80,85,2028-11-06,Syrup
BIOGESIC 500MG TABLET,Pain Relief/Analgesic,35.00,89,2029-11-01,Tablet
BIOGESIC DROP 15ML,Pain Relief/Analgesic,8.80,113,2029-08-03,Drops
BISACODYL TABLET,Laxative/GI,13.10,30,2029-11-01,Tablet
BL CREAM,Topical/Skin,75.00,60,2028-09-07,Cream/Ointment
BL SOAP 115G,Personal Care/Hygiene,70.00,34,2029-05-05,Personal Care
BLACKENING SHAMPOO,Personal Care/Hygiene,120.00,64,2028-05-10,Personal Care
BONAKID 1-3YRS 350G,Nutritional/Milk,171.00,20,2027-07-15,Unit
BONAMINE 12.5MG KIDS TABLET,Antihistamine/Antiemetic,25.00,60,2029-05-05,Tablet
BONAMINE 25MG ADULT TABLET,Antihistamine/Antiemetic,12.10,46,2029-05-05,Tablet
BONNA 0-6 MONTH 350G,Nutritional/Milk,332.00,10,2028-06-09,Unit
BONNA 1-3YRS OLD 350G,Nutritional/Milk,336.00,15,2027-12-12,Unit
BONNA 6-12MONTHS 350G,Nutritional/Milk,231.00,18,2027-12-12,Unit
BONNAKID 0-6 MONTH 150G,Nutritional/Milk,352.00,15,2027-12-12,Unit
BONNAKID 6-12MONTHS 150G,Nutritional/Milk,91.00,29,2027-10-13,Unit
BP MANUAL/PARTNERS,Medical Device,"2,375.00",8,2030-11-26,Device
BRAVO,Personal Care/Hygiene,110.00,72,2028-04-10,Unit
BREAST PUMP,Medical Device,690.00,4,2029-09-02,Device
BREZU SYR-PROCATEROL,Respiratory,55.00,39,2028-01-11,Syrup
BUDESONIDE NEBULE,Respiratory,65.00,8,2028-01-11,Nebule
BUSCOPAN TABLET,Antispasmodic/GI,35.00,37,2029-04-05,Tablet
BUSCOPAN VENUS TABLET,Antispasmodic/GI,15.40,37,2028-02-10,Tablet
BUTAMIRATE SYRUP,Respiratory/Cough,70.00,9,2028-02-10,Syrup
CALADRYL LOTION CALAMINE 30ML,Topical/Skin,130.00,20,2029-06-04,Lotion
CALCIUM +D TABLET,Vitamins/Supplements,50.00,41,2028-09-07,Tablet
CALCIUM CARBONATE CAPSULE,Vitamins/Supplements,210.00,7,2029-03-06,Capsule
CALMOSEPTINE OINTMENT,Topical/Skin,35.00,47,2029-12-01,Cream/Ointment
CALPOL 120MG SYR 60ML,Pain Relief/Analgesic,45.00,25,2028-08-08,Syrup
CALPOL 250 SYR 60ML,Pain Relief/Analgesic,19.30,50,2028-10-07,Syrup
CARBAMAZIPINE 200MG TABLET,Neurological/Anticonvulsant,35.00,30,2028-04-10,Tablet
CARBO+ZINC CAP,Antidiarrheal/GI,30.00,24,2029-02-04,Capsule
CARBOCISTEINE 125MG SYR,Respiratory/Mucolytic,30.00,53,2028-02-10,Syrup
CARBOCISTEINE 250MG SYR,Respiratory/Mucolytic,8.60,44,2029-06-04,Syrup
CARBOCISTEINE 500MG CAPSULE,Respiratory/Mucolytic,75.00,9,2029-05-05,Capsule
CARBOCISTEINE DROP,Respiratory/Mucolytic,20.00,21,2028-04-10,Drops
CAREFREE PANTYLINER BY 8,Personal Care/Hygiene,230.00,18,2028-07-09,Consumer
CARESS MEDIUM ADULT PACK,Personal Care/Hygiene,100.00,30,2029-02-04,Unit
CARVEDILOL 12.5MG,Cardiovascular,150.00,50,2028-09-07,Unit
CARVEDILOL 25MG,Cardiovascular,110.00,56,2029-08-03,Unit
CARVEDILOL 6.25MG,Cardiovascular,100.00,47,2029-05-05,Unit
CATAPRES 150MCG,Cardiovascular,60.00,47,2028-03-11,Unit
CATAPRES 75 MCG,Cardiovascular,170.00,13,2028-08-08,Unit
CEBO DE MACHO 10G,Topical/Skin,40.00,11,2030-04-30,Unit
CEBO DE MACHO 7G,Topical/Skin,110.00,22,2029-03-06,Unit
CEELIN DROP 15ML,Vitamins/Supplements,210.00,50,2028-11-06,Drops
CEELIN PLUS SYR 120ML,Vitamins/Supplements,80.00,45,2028-10-07,Syrup
CEELIN PLUS SYR 250ML,Vitamins/Supplements,180.00,21,2028-06-09,Syrup
CEELIN SYR 120ML,Vitamins/Supplements,40.00,32,2028-10-07,Syrup
CEELIN SYR 250ML,Vitamins/Supplements,25.00,26,2029-06-04,Syrup
CEFACLOR 125MG SUSPENSION,Antibiotic,25.00,21,2028-05-10,Suspension
CEFACLOR 250 SUSPENSION,Antibiotic,75.00,40,2029-01-05,Suspension
CEFALEXIN 125MG SUSPENSION,Antibiotic,60.00,12,2028-02-10,Suspension
CEFALEXIN 250MG SUSPENSION,Antibiotic,90.00,49,2028-04-10,Suspension
CEFALEXIN 500MG CAPSULE,Antibiotic,55.00,58,2028-11-06,Capsule
CEFALEXIN DROP,Antibiotic,60.00,14,2029-01-05,Drops
CEFIXIME 100MG 60ML,Antibiotic,25.00,24,2028-11-06,Unit
CEFIXIME 200MG TABLET,Antibiotic,85.00,55,2028-01-11,Tablet
CEFIXIME 400MG,Antibiotic,85.00,18,2028-07-09,Unit
CEFIXIME DROP 10ML,Antibiotic,65.00,27,2029-05-05,Drops
CEFUROXIME 125MG,Antibiotic,85.00,31,2028-04-10,Unit
CEFUROXIME 250MG,Antibiotic,90.00,20,2028-05-10,Unit
CEFUROXIME 500MG,Antibiotic,95.00,56,2028-05-10,Unit
CELECOXIB 200MG CAPSULE,Pain Relief/Anti-inflammatory,110.00,6,2028-05-10,Capsule
CELECOXIB 400MG,Pain Relief/Anti-inflammatory,90.00,26,2029-01-05,Unit
CELERPLEX CAPSULE,Vitamins/Supplements,280.00,60,2029-05-05,Capsule
CENTRUM ADVANCE BOTTLE,Vitamins/Supplements,418.00,22,2028-08-08,Medical Supply
CETIRIZINE DROP,Antihistamine,35.00,43,2028-12-06,Drops
CETIRIZINE SYR,Antihistamine,40.00,139,2029-03-06,Syrup
CETIRIZINE TABLET,Antihistamine,13.90,134,2029-02-04,Tablet
CHARMEE PANTY LINER BY 8,Personal Care/Hygiene,95.00,39,2028-07-09,Consumer
CHERIFER DROP 15ML,Vitamins/Supplements,16.10,17,2028-12-06,Drops
CHERIFER IMMUNOMAX SYR 120ML,Vitamins/Supplements,120.00,60,2028-07-09,Syrup
CHERIFER SYR 120ML,Vitamins/Supplements,340.00,22,2028-11-06,Syrup
CHILI PLASTER,Topical/Analgesic,80.00,30,2030-03-01,Patch/Plaster
CHIN CHAN SU,Herbal/Topical,50.00,39,2028-10-07,Unit
CHLORAMPHENICOL 125 SYR 60ML,Antibiotic,90.00,12,2028-08-08,Syrup
CINNARIZINE 25MG,ENT/Vertigo,20.00,21,2028-01-11,Unit
CIPROFLOXACIN 500MG,Antibiotic,20.00,32,2028-11-06,Unit
CITICOLINE 500MG,Neurological,140.00,25,2029-01-05,Unit
CLARITHROMYCIN 125MG SUSPENSION,Antibiotic,60.00,37,2028-03-11,Suspension
CLARITHROMYCIN 250MG SUSP,Antibiotic,45.00,41,2028-06-09,Suspension
CLARITHROMYCIN 500MG,Antibiotic,35.00,50,2029-01-05,Unit
CLARITIN TABLET,Antihistamine,5.10,56,2029-05-05,Tablet
CLAY DOH 25G,Personal Care/Hygiene,180.00,35,2028-11-06,Unit
CLINDAMYCIN 300MG,Antibiotic,50.00,47,2028-10-07,Unit
CLOBETASOL CREAM 10G,Topical/Skin,120.00,47,2028-09-07,Cream/Ointment
CLONIDINE 150,Cardiovascular,130.00,24,2029-04-05,Unit
CLONIDINE 75MG,Cardiovascular,60.00,31,2028-10-07,Unit
CLOPIDOGREL 75MG,Cardiovascular/Antiplatelet,35.00,23,2029-05-05,Unit
CLOTRIMAZOLE CREAM 15G,Antifungal,25.00,31,2029-09-02,Cream/Ointment
CLOXACILLIN 125MG SYR,Antibiotic,90.00,48,2028-05-10,Syrup
CLOXACILLIN 250 SYR,Antibiotic,65.00,24,2028-12-06,Syrup
CLOXACILLIN 500MG,Antibiotic,55.00,5,2028-09-07,Unit
CO AMOXICLAV 156.25MG SUSPENSION,Antibiotic,35.00,32,2029-06-04,Suspension
CO AMOXICLAV 312.5MG,Antibiotic,60.00,25,2029-02-04,Unit
CO AMOXICLAV 457MG SUSPENSION,Antibiotic,50.00,48,2028-06-09,Suspension
CO AMOXICLAV 625MG,Antibiotic,55.00,55,2028-05-10,Unit
COLCHICINE TABLET,Gout/Uric Acid,60.00,23,2029-04-05,Tablet
COLGATE BARBIE TP 40G,Oral Care,90.00,44,2028-10-07,Unit
COLGATE BATMAN TP 40G,Oral Care,40.00,53,2028-07-09,Unit
COLGATE TIGER TP 40G,Oral Care,90.00,19,2028-06-09,Unit
COTRIMOXAZOLE 240MG SUSP,Antibiotic,25.00,7,2028-07-09,Suspension
COTRIMOXAZOLE 480MG SUSP,Antibiotic,95.00,44,2028-02-10,Suspension
COTRIMOXAZOLE 960MG,Antibiotic,50.00,45,2029-06-04,Unit
COTTON 10G,First Aid/Medical Supply,45.00,59,2029-03-06,Medical Supply
COTTON 40G,First Aid/Medical Supply,80.00,28,2029-08-03,Medical Supply
COTTON BUDS BIG,Personal Care/Hygiene,180.00,23,2029-01-05,Medical Supply
CUTICLE REMOVER 60ML,Personal Care/Hygiene,65.00,76,2029-02-04,Unit
DAHPNE PILLS,Contraceptive/Hormonal,200.00,20,2028-03-11,Pill
DAILY SCENT 50ML,Personal Care/Hygiene,120.00,69,2029-04-05,Unit
DAILY SCENT 75ML,Personal Care/Hygiene,250.00,50,2029-02-04,Unit
DAPAGLIFLOZIN 10MG TABLET,Antidiabetic,160.00,51,2029-04-05,Tablet
DECILONE FORTE,Anti-inflammatory/Steroid,45.00,40,2029-02-04,Unit
DECOLGEN FORTE TABLET,Cold/Flu,50.00,52,2029-03-06,Tablet
DECOLGEN NON-DROWSE TABLET,Cold/Flu,30.00,53,2028-07-09,Tablet
DEXAMETHASONE TABLET,Anti-inflammatory/Steroid,75.00,22,2029-12-01,Tablet
DEXTROMETORPHAN SYRUP,Respiratory/Cough,65.00,36,2028-07-09,Syrup
DIANNE PILLS,Contraceptive/Hormonal,280.00,9,2029-10-02,Pill
DIATABS,Antidiarrheal/GI,15.00,22,2028-10-07,Tablet
DICLOFENAC 100MG TABLET,Pain Relief/Anti-inflammatory,45.00,39,2028-02-10,Tablet
DICLOFENAC 50MG TABLET,Pain Relief/Anti-inflammatory,25.00,19,2028-12-06,Tablet
DICYCLOVERINE SYR 60ML,Antispasmodic/GI,40.00,50,2028-06-09,Syrup
DICYCLOVERINE TABLET,Antispasmodic/GI,11.00,31,2028-10-07,Tablet
DIFFLAM LOZENGES,Oral Care/Anti-inflammatory,100.00,31,2028-01-11,Lozenges
DIGITAL TALKING BP/PARTNERS,Medical Device,"1,152.00",7,2031-05-25,Device
DILTIAZEM 60MG,Cardiovascular,160.00,42,2029-10-02,Unit
DIPHENHYDRAMINE 12.5 SYR 60ML,Antihistamine,5.80,53,2029-06-04,Syrup
DIPHENHYDRAMINE 50MG CAPSULE,Antihistamine,20.00,5,2028-11-06,Capsule
DISNEY FACE MASK BOX,Personal Care/Hygiene,85.00,59,2029-01-05,Consumer
DISUDRIN DROPS 10ML,Cold/Flu/Decongestant,35.00,52,2029-05-05,Drops
DISUDRIN SYR 120ML,Cold/Flu/Decongestant,50.00,19,2029-03-06,Syrup
DISUDRIN SYR 60ML,Cold/Flu/Decongestant,19.40,32,2029-03-06,Syrup
DOLFENAL 500MG,Pain Relief/Anti-inflammatory,11.30,26,2029-09-02,Unit
DOMPERIDONE SYR 60ML,Antacid/GI,50.00,30,2029-11-01,Syrup
DOMPERIDONE TABLET,Antacid/GI,16.60,34,2028-04-10,Tablet
DOUBLE A BATTERY,Medical Supply,340.00,39,2028-07-09,Unit
DOVE BAR SOAP 90G,Personal Care/Hygiene,230.00,13,2028-02-10,Personal Care
DOXYCYCLINE 100MG CAPSULE,Antibiotic,65.00,13,2029-02-04,Capsule
DR KAUFMAN SOAP 80G,Personal Care/Hygiene,55.00,43,2028-12-06,Personal Care
DR WONG SOAP 80G,Personal Care/Hygiene,90.00,68,2028-10-07,Personal Care
DROPPER,Medical Supply,120.00,29,2029-11-01,Drops
DULCOLAX SUPPOSITORY ADULT,Laxative/GI,45.00,58,2029-01-05,Suppository
DULCOLAX SUPPOSITORY CHILDREN,Laxative/GI,20.00,10,2029-03-06,Suppository
DULCOLAX TABLET,Laxative/GI,9.00,39,2028-01-11,Tablet
DUREX CONDOM,Personal Care/Hygiene,250.00,54,2028-07-09,Consumer
DUTASTERIDE+TAMSULOSIN,Urology,130.00,54,2029-08-03,Unit
EFFI 25ML XS,Personal Care/Hygiene,20.00,13,2028-07-09,Unit
EFFI 50ML XS,Personal Care/Hygiene,60.00,12,2028-04-10,Unit
EFFI EXTREME 25ML,Personal Care/Hygiene,70.00,70,2028-03-11,Unit
EFFI EXTREME 50ML,Personal Care/Hygiene,150.00,37,2029-02-04,Unit
EFFI REG 25ML,Personal Care/Hygiene,180.00,57,2028-05-10,Unit
EFFI REG 50ML,Personal Care/Hygiene,160.00,24,2028-05-10,Unit
ELASTIC BANDAGE LARGE,First Aid/Medical Supply,170.00,23,2029-06-04,Medical Supply
ELASTIC BANDAGE MEDIUM,First Aid/Medical Supply,19.20,49,2029-06-04,Medical Supply
ELASTIC BANDAGE SMALL,First Aid/Medical Supply,130.00,58,2028-12-06,Medical Supply
ELASTIC BANDAGE X-LARGE,First Aid/Medical Supply,170.00,35,2028-02-10,Medical Supply
ENALAPRIL 10MG,Cardiovascular,110.00,58,2029-08-03,Unit
ENALAPRIL 5MG,Cardiovascular,50.00,49,2029-12-01,Unit
ENERVON W/ZINC TABLET,Vitamins/Supplements,110.00,48,2029-03-06,Tablet
EQ DRY LARGE 4PCS,Personal Care/Hygiene,200.00,15,2028-11-06,Unit
EQ DRY MED 4PCS,Personal Care/Hygiene,140.00,57,2028-02-10,Unit
EQ DRY SMALL 4PCS,Personal Care/Hygiene,130.00,53,2027-12-12,Unit
EQ DRY XL 4PCS,Personal Care/Hygiene,210.00,72,2028-03-11,Unit
EQ NEW BORN DRY 4PCS,Personal Care/Hygiene,120.00,56,2029-02-04,Unit
ERCEFLORA/NOVAFLORA,Probiotic/GI,60.00,32,2028-05-10,Unit
ERTHROMYCIN SUSPENSION,Antibiotic,75.00,46,2028-08-08,Suspension
ERYTHROMYCIN 500MG,Antibiotic,65.00,39,2029-03-06,Unit
ESKINOL 75ML,Personal Care/Hygiene,120.00,44,2028-10-07,Unit
ESOMEPRAZOLE 40MG TABLET,Antacid/GI,60.00,58,2028-02-10,Tablet
ETHAMBUTOL 400MG TABLET,Antibiotic/Anti-TB,25.00,33,2028-07-09,Tablet
ETORICOXIB 120MG TABLET,Pain Relief/Anti-inflammatory,90.00,41,2029-07-04,Tablet
ETORICOXIB 90MG,Pain Relief/Anti-inflammatory,85.00,26,2027-12-12,Unit
EURIVIT TABLET,Vitamins/Supplements,180.00,25,2028-08-08,Tablet
EVENING PRIMROSE,Vitamins/Supplements,170.00,27,2029-06-04,Unit
EYEMO BLUE,Ophthalmic,50.00,22,2029-07-04,Unit
EYEMO GREEN,Ophthalmic,90.00,22,2029-05-05,Unit
EYEMO RED,Ophthalmic,25.00,17,2028-02-10,Unit
FACE MASK,Personal Care/Hygiene,70.00,62,2029-03-06,Consumer
FACE MASK KIDS,Personal Care/Hygiene,140.00,40,2029-03-06,Consumer
FEBUXOSTAT 40MG TABLET,Gout/Uric Acid,60.00,36,2029-02-04,Tablet
FEBUXOSTAT 80MG,Gout/Uric Acid,75.00,10,2028-09-07,Unit
FELODIPINE 5MG,Cardiovascular,45.00,49,2028-07-09,Unit
FENOFIBRATE 200MG,Cardiovascular/Lipid,35.00,42,2028-11-06,Unit
FERLIN DROP 15ML,Vitamins/Supplements,170.00,38,2028-11-06,Drops
FERROUS CAPSULE,Vitamins/Supplements,150.00,52,2029-02-04,Capsule
FINASTERIDE 5MG TABLET,Urology/Hair,40.00,49,2029-02-04,Tablet
FIRSTAID BAG,First Aid/Medical Supply,60.00,42,2028-07-09,Medical Supply
FLANAX FORTE TABLET,Pain Relief/Anti-inflammatory,20.00,17,2028-10-07,Tablet
FLUCONAZOLE 150MG TABLET,Antifungal,25.00,39,2029-12-01,Tablet
FLUIMUCIL 100MG POWDER,Respiratory/Mucolytic,55.00,17,2028-06-09,Powder
FLUIMUCIL 600MG TABLET,Respiratory/Mucolytic,55.00,22,2029-06-04,Tablet
FOLIC CAPSULE,Vitamins/Supplements,340.00,38,2029-03-06,Capsule
FORALIVIT CAPSULE,Vitamins/Supplements,100.00,11,2028-09-07,Capsule
FURAZOLIDONE SYR 60ML,Antidiarrheal/GI,15.40,28,2028-05-10,Syrup
FUROSIMIDE 20MG,Cardiovascular/Diuretic,25.00,50,2029-05-05,Unit
FUROSIMIDE 40MG,Cardiovascular/Diuretic,15.20,7,2028-01-11,Unit
GAUZE BANDAGE ROLL 3X10,First Aid/Medical Supply,110.00,26,2029-08-03,Medical Supply
GAUZE BANDAGE ROLL 4X10,First Aid/Medical Supply,160.00,72,2028-03-11,Medical Supply
GAUZE PAD 4X4,First Aid/Medical Supply,160.00,46,2029-03-06,Medical Supply
GAVISCON DOUBLE ACTION,Antacid/GI,35.00,26,2028-05-10,Unit
GAVISCON TABLET,Antacid/GI,70.00,21,2029-03-06,Tablet
GC ALCOHOL 250ML,Antiseptic,30.00,9,2028-12-06,Unit
GC ALCOHOL 500ML,Antiseptic,70.00,41,2029-08-03,Unit
GC ALCOHOL 60ML,Antiseptic,90.00,14,2028-04-10,Unit
GC ALCOHOL SPRAY,Antiseptic,100.00,24,2028-02-10,Spray
GILLETTE BLADE,Personal Care/Hygiene,250.00,25,2029-05-05,Unit
GINGKO FORTE,Vitamins/Supplements,270.00,43,2029-03-06,Unit
GINKGO BILOBA ATC,Vitamins/Supplements,280.00,19,2029-06-04,Unit
GLICLAZIDE 30MG,Antidiabetic,140.00,33,2029-02-04,Unit
GLICLAZIDE 60MG TABLET,Antidiabetic,85.00,42,2029-01-05,Tablet
GLICLAZIDE 80MG TABLET,Antidiabetic,85.00,44,2028-01-11,Tablet
GLIMEPIRIDE 2MG TABLET,Antidiabetic,160.00,52,2028-03-11,Tablet
GLOVES LATEX,Medical Supply,330.00,18,2029-07-04,Unit
GLUCOMETER MACHINE,Medical Device,"1,250.00",2,2030-03-31,Device
GROWEE SYR 120ML,Vitamins/Supplements,90.00,40,2028-07-09,Syrup
GUAIFENESIN CAPSULE,Respiratory/Mucolytic,18.50,31,2029-02-04,Capsule
GUAIFENESIN SYR,Respiratory/Mucolytic,55.00,35,2028-09-07,Syrup
GYNEPRO FEMINIE WASH 60ML,Personal Care/Hygiene,19.80,46,2028-09-07,Personal Care
HAPP PANTS DIAPER XXL 4PCS,Personal Care/Hygiene,180.00,68,2028-02-10,Consumer
HAPPY DIAPER LARGE 4PCS,Personal Care/Hygiene,180.00,43,2029-06-04,Consumer
HAPPY PANS DIAPER MED 4PCS,Personal Care/Hygiene,170.00,35,2029-01-05,Consumer
HAPPY PANTS XL 4PCS,Personal Care/Hygiene,40.00,38,2028-04-10,Consumer
HEMARATE F.A. TABLET,Vitamins/Supplements,320.00,57,2028-08-08,Tablet
HEMARATE TABET,Vitamins/Supplements,30.00,15,2029-06-04,Tablet
HYDROCORT 15 MG,Anti-inflammatory/Steroid,35.00,52,2029-06-04,Unit
HYOSCINE SYR,Antispasmodic/GI,50.00,33,2028-03-11,Syrup
HYOSCINE TABLET,Antispasmodic/GI,30.00,24,2029-10-02,Tablet
IBUPROFEN SYR 200MG,Pain Relief/Anti-inflammatory,55.00,22,2029-04-05,Syrup
IBUPROPEN TABLET 400MG,Pain Relief/Anti-inflammatory,70.00,33,2028-02-10,Tablet
ICE BAG,Medical Supply,210.00,32,2030-01-30,Medical Supply
IMMUNPRO CAPSULE,Vitamins/Supplements,210.00,6,2028-07-09,Capsule
IRBESARTAN 150MG,Cardiovascular,45.00,48,2029-06-04,Unit
IRBESARTAN 300MG,Cardiovascular,110.00,6,2029-12-01,Unit
IRON MAX SYR 60ML,Vitamins/Supplements,240.00,22,2029-03-06,Syrup
IRON SYRUP,Vitamins/Supplements,20.00,53,2028-08-08,Syrup
IRON TABLET,Vitamins/Supplements,170.00,46,2029-01-05,Tablet
IRON+FOLIC TABLET,Vitamins/Supplements,320.00,16,2029-03-06,Tablet
ISONIAZID 300MG TABLET,Antibiotic/Anti-TB,30.00,57,2029-03-06,Tablet
ISOSORBIDE 30MG,Cardiovascular,170.00,35,2028-11-06,Unit
ISOSORBIDE 60MG,Cardiovascular,80.00,25,2029-09-02,Unit
ISOXSUPRINE 10MG TABLET,Cardiovascular,25.00,15,2028-10-07,Tablet
JOHNSON MILK OATS BATH 100ML,Personal Care/Hygiene,110.00,73,2028-09-07,Unit
JUICY COLOGNE 50ML,Personal Care/Hygiene,170.00,61,2029-05-05,Personal Care
KATIALIS OINTMENT 15G,Topical/Skin/Antifungal,35.00,10,2028-11-06,Cream/Ointment
KATIALIS OINTMENT 5g,Topical/Skin/Antifungal,55.00,12,2029-06-04,Cream/Ointment
